datetime.datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getGyroX(),getGyroY(),getGyroZ(),get_x_rotation(),get_y_rotation(),throttle,steering,movement
2019-02-13 15:43:37.179474,64,620,16888,-308,86,15,2.3024594265254614,-0.9654026185235323,100,x,x
2019-02-13 15:43:37.448791,252,620,16576,-284,107,18,1.8989201182685571,-0.9525818342817891,100,x,x
2019-02-13 15:43:37.718022,320,668,16872,-324,109,20,2.2248945105275904,-1.1674936043179798,100,x,x
2019-02-13 15:43:37.987218,356,564,16528,-298,85,27,2.2649988717568377,-0.8973677551619839,100,x,x
2019-02-13 15:43:38.256821,304,616,16540,-297,111,14,2.1008802315895414,-1.5778957727109606,100,x,x
2019-02-13 15:43:38.526136,252,632,16596,-338,89,27,2.264555005754583,-1.6768128879260809,100,x,x
2019-02-13 15:43:38.796248,500,664,16876,-326,93,32,2.1115087011551315,-0.06872586249800543,100,x,x
2019-02-13 15:43:39.067470,28,600,16848,-281,98,25,2.5733907675206753,-1.0557886262026166,100,x,x
2019-02-13 15:43:39.336768,336,628,16644,-280,112,34,2.0853040164372207,-0.7806348368070999,100,x,x
2019-02-13 15:43:39.607423,296,752,16832,-278,82,29,2.151716416936864,-0.9400484437282044,100,x,x
2019-02-13 15:43:39.877551,280,612,16748,-17,85,45,1.9756475228523551,-1.02859226026466,100,x,x
2019-02-13 15:43:40.146837,232,564,16672,-270,106,26,2.319452928702996,-1.4782174819358982,100,x,x
2019-02-13 15:43:40.417539,296,572,16464,-278,98,43,1.914957496178693,-0.0,100,x,x
2019-02-13 15:43:40.686882,288,620,16576,-345,98,14,2.0790402544405624,-0.16308773327769885,100,x,x
2019-02-13 15:43:40.956139,56,652,16652,-289,95,21,1.9083959240312534,-1.4365468675523023,100,x,x
2019-02-13 15:43:41.225569,328,568,16392,-324,88,-249,2.055116999325652,-0.5929253633076035,100,x,x
2019-02-13 15:43:41.495002,200,580,16812,-283,94,30,2.348535023707198,-1.1400483928091458,100,x,x
2019-02-13 15:43:41.764497,16,616,16872,-295,110,16,2.311401355008444,-1.0590300881855579,100,x,x
2019-02-13 15:43:42.033846,328,612,16680,-276,86,35,2.6148760554674846,-1.1027887693897476,100,x,x
2019-02-13 15:43:42.303290,320,604,16760,-279,85,25,1.9687568236574302,-0.9453971045912275,100,x,x
2019-02-13 15:43:42.572708,204,636,16400,-291,75,55,2.200116697489186,-0.06944499829828374,100,x,x
2019-02-13 15:43:42.842071,308,652,16620,-306,88,14,2.6080100740787717,-1.1116439874875335,100,x,x
2019-02-13 15:43:43.111449,32,620,16572,-277,96,36,1.933447762756898,-0.8883774875691874,100,x,x
2019-02-13 15:43:43.380799,256,616,16724,-7,91,21,2.024444768670794,-0.6053115309752956,100,x,x
2019-02-13 15:43:43.650346,-4264,292,10060,-504,294,640,3.945509102438552,6.741129068955971,255,x,f
2019-02-13 15:43:43.920146,-3232,3364,18744,-402,145,1285,-0.7792538548947034,3.533875830964597,255,x,f
2019-02-13 15:43:44.190051,-4428,1804,14500,-129,1501,1719,6.415033487152987,10.636202881366854,255,x,f
2019-02-13 15:43:44.459672,10312,4280,21772,-1386,1517,1847,-3.7448585655778337,-5.171304742875707,255,x,x
2019-02-13 15:43:44.729309,4284,1036,23660,17,-30,859,7.33930939965985,-10.962915033245613,255,x,x
2019-02-13 15:43:45.000082,4892,1632,7136,-870,3410,155,2.1105232470140978,-33.55733069442437,255,x,b
2019-02-13 15:43:45.269756,5768,4328,10220,-609,607,592,0.8114079171916577,-9.59112534017536,255,x,b
2019-02-13 15:43:45.539031,3884,3800,24200,-454,-389,-1054,-7.203059487329696,-8.153860748810844,255,x,b
2019-02-13 15:43:45.808295,-396,-5040,15208,1382,1811,-2377,5.332534704131241,-8.316542285496947,255,x,x
2019-02-13 15:43:46.080658,-4160,-1336,20036,-30,111,-648,-13.170267242446192,1.422501261068856,255,x,x
2019-02-13 15:43:46.349919,-1296,3256,8940,245,219,-987,-5.9444127379024145,0.2999623723677574,255,x,x
2019-02-13 15:43:46.619168,-5892,5548,21696,-297,-237,-39,-13.88448472782263,22.48430010790334,255,x,f
2019-02-13 15:43:46.888313,-1440,-2728,20688,-1897,-622,983,-3.9073648605821436,2.5967691758935127,255,x,f
2019-02-13 15:43:47.157454,-3028,4048,21220,401,-455,141,10.083547743143782,-0.1681512255096306,255,x,f
2019-02-13 15:43:47.426873,2744,1956,9872,-224,1418,781,8.591100591122562,-19.993160884521583,255,x,x
2019-02-13 15:43:47.696051,3320,-292,11084,-642,411,382,3.0639633220644518,-9.454242645241104,255,x,x
2019-02-13 15:43:47.965207,1956,-4,18616,59,-463,304,6.312942118541766,-2.8306525855206788,255,x,x
2019-02-13 15:43:48.234396,1248,544,16280,-363,90,436,3.1198942983928393,-5.74087787606531,255,x,x
2019-02-13 15:43:48.503476,1472,736,16884,-90,199,165,2.0576666160126016,-5.980342535129431,255,x,x
2019-02-13 15:43:48.772646,9120,2280,19004,-965,450,-193,-0.12324891488202154,-31.81616337413576,255,x,b
2019-02-13 15:43:49.045091,5040,-3028,11316,746,621,-568,-5.9332409742815235,0.46698094593132883,255,x,b
2019-02-13 15:43:49.306844,2100,2132,15064,566,578,-1755,5.550461181475271,-11.49607690320364,255,x,b
2019-02-13 15:43:49.568846,-4024,1624,20604,519,553,-2235,-3.4281150720701956,-2.9985821299227666,255,x,x
2019-02-13 15:43:49.841313,-3108,-7076,13456,-789,-478,-1457,-13.800699586657254,9.624370423585436,255,x,x
2019-02-13 15:43:50.110539,264,428,8492,-606,-359,-1271,16.82349878906707,-9.845959388340425,255,x,x
