time,accel_x,accel_y,accel_z,accel_x_scaled,accel_y_scaled,accel_z_scaled,gyro_x,gyro_y,gyro_z,gyro_x_scaled,gyro_y_scaled,gyro_z_scaled,x_rotation,y_rotation,proximity,steering_angle,throttle,count
2019-03-17 10:04:21.525318,148,300,16508,0.02490234375,0.0244140625,1.00634765625,-342,78,72,-2.618320610687023,0.6564885496183206,0.42748091603053434,1.3412787360615332,-0.6900887371232919,72.98,0,0,0
2019-03-17 10:04:21.561846,120,380,16580,0.011962890625,0.029052734375,1.011962890625,-299,102,24,-2.0610687022900764,0.648854961832061,0.19083969465648856,1.3056062200289562,-0.5558498796854081,73.83,0,0,0
2019-03-17 10:04:21.600554,128,388,16536,0.013427734375,0.025390625,1.0224609375,-311,81,30,-2.183206106870229,0.7786259541984732,0.25190839694656486,1.5701994320970347,-0.08315504361036122,73.82,-1,0,0
2019-03-17 10:04:21.636721,148,368,16544,0.013916015625,0.026611328125,1.01123046875,-282,87,47,-2.16793893129771,0.6717557251908397,0.37404580152671757,1.494064372385793,-0.5683420877220882,72.91,-1,0,0
2019-03-17 10:04:21.674653,184,348,16516,0.0107421875,0.04296875,1.014892578125,-319,98,22,-2.0381679389312977,0.7099236641221374,0.3435114503816794,1.230442941621646,-0.5001097154878291,72.88,0,0,0
2019-03-17 10:04:21.711575,248,744,16640,0.0087890625,0.020751953125,1.007568359375,-273,99,39,-2.045801526717557,0.9618320610687023,0.2900763358778626,1.7183991884004204,-0.8149709078271803,73.31,0,0,0
2019-03-17 10:04:21.745273,168,464,16888,0.009765625,0.027587890625,1.00341796875,-270,95,46,-2.015267175572519,0.7633587786259542,0.1984732824427481,1.308126433168097,-0.09521095224398088,73.35,0,0,0
2019-03-17 10:04:21.780557,248,336,16520,0.013427734375,0.025146484375,1.0126953125,-316,90,49,-3.877862595419847,0.6183206106870229,0.42748091603053434,1.1393918031536714,-0.5794593638000112,73.07,0,0,0
2019-03-17 10:04:21.815867,132,504,16584,0.006103515625,0.029052734375,1.017822265625,-323,85,38,-2.2748091603053435,0.9770992366412213,0.1297709923664122,1.4124935309981703,-0.7163439866354735,72.92,0,0,0
2019-03-17 10:04:21.851256,116,424,16872,0.013916015625,0.01611328125,1.01611328125,-284,75,41,-3.8625954198473282,0.7022900763358778,0.3816793893129771,1.641900714225942,-0.7083557302792969,72.96,0,0,0
