time,accel_x,accel_y,accel_z,accel_x_scaled,accel_y_scaled,accel_z_scaled,gyro_x,gyro_y,gyro_z,gyro_x_scaled,gyro_y_scaled,gyro_z_scaled,x_rotation,y_rotation,proximity,steering_angle,throttle,count
2019-03-17 10:12:54.671161,320,352,16596,0.02587890625,0.0234375,1.00732421875,-252,95,29,-2.2900763358778624,0.648854961832061,0.2824427480916031,1.5448134776237865,-1.4390506212483865,77.84,0,0,0
2019-03-17 10:12:54.712424,420,256,16504,0.018798828125,0.02734375,1.019287109375,-295,86,30,-0.022900763358778626,0.6259541984732825,0.2824427480916031,1.4751528878993128,-1.1968618627143808,77.38,0,0,0
2019-03-17 10:12:54.746308,424,264,16388,0.0224609375,0.02734375,1.0146484375,-374,91,56,-2.3053435114503817,0.48091603053435117,0.20610687022900764,2.6302664906128443,-0.9499432366419593,77.48,0,0,0
2019-03-17 10:12:54.780470,340,440,16384,0.02587890625,0.02880859375,1.01171875,-311,69,42,-2.068702290076336,0.6870229007633588,0.22137404580152673,1.3963868322291442,-1.2285811890683085,87.4,0,0,0
2019-03-17 10:12:54.817683,320,488,16820,0.020751953125,0.031494140625,1.001953125,-311,98,43,-2.4198473282442747,0.8396946564885496,0.31297709923664124,2.127828062427775,-1.1949979940484974,76.99,0,0,0
2019-03-17 10:12:54.852144,280,280,16620,0.018310546875,0.043212890625,1.01025390625,-289,79,50,-2.3740458015267176,0.7862595419847328,0.31297709923664124,2.0713497676347252,-1.1261234534336273,76.52,0,0,0
2019-03-17 10:12:54.886273,332,320,16636,0.022216796875,0.042724609375,1.014404296875,-262,48,51,-2.4427480916030535,0.5954198473282443,0.31297709923664124,1.4832501759639465,-1.7184040553688467,76.16,0,0,0
2019-03-17 10:12:54.920458,328,516,16880,0.030517578125,0.015869140625,1.013916015625,-315,85,72,-2.381679389312977,0.549618320610687,0.16030534351145037,2.42542841307751,-1.2117865305087996,76.13,0,0,0
2019-03-17 10:12:54.954755,340,460,16560,0.02734375,0.0283203125,1.0029296875,-301,84,45,-2.366412213740458,0.7175572519083969,0.2595419847328244,1.6662169986820123,-1.3520211159492768,77.78,0,0,0
2019-03-17 10:12:54.989707,392,460,16584,0.03076171875,0.045166015625,1.010009765625,-292,68,60,-2.5801526717557253,0.7251908396946565,0.17557251908396945,0.9162285037208218,-1.3548981193932716,76.61,0,0,0
2019-03-17 10:12:55.023870,324,476,16488,0.025390625,0.025634765625,1.011962890625,-296,66,19,-2.4580152671755724,0.5801526717557252,0.44274809160305345,1.4083504267444351,-1.3074200859323224,76.16,0,0,0
2019-03-17 10:12:55.057725,400,364,16804,0.02685546875,0.015869140625,1.01318359375,-28,99,46,-2.66412213740458,0.8091603053435115,0.5267175572519084,2.5121469327990775,-1.393846209135504,77.77,0,0,0
2019-03-17 10:12:55.094548,320,268,16500,0.02734375,0.017822265625,1.0087890625,-273,87,32,-2.2900763358778624,0.916030534351145,0.40458015267175573,1.8175389789211365,-1.4457795816266485,77.37,0,0,0
2019-03-17 10:12:55.129842,316,372,16392,0.022705078125,0.0263671875,1.005126953125,-296,93,47,-2.0763358778625953,0.7633587786259542,0.21374045801526717,1.7050928122594955,-1.4107194126810048,76.52,0,0,0
2019-03-17 10:12:55.168195,340,408,16708,0.015625,0.02294921875,1.01123046875,-269,116,49,-2.4198473282442747,0.8015267175572519,0.3969465648854962,1.5427932869620402,-1.4898040891593631,77.35,0,0,1
2019-03-17 10:12:55.207266,368,464,16572,0.0205078125,0.04638671875,1.019775390625,-300,83,13,-2.450381679389313,0.732824427480916,0.3969465648854962,1.8265524183686266,-1.3118312571431512,76.53,0,0,1
2019-03-17 10:12:55.241518,324,280,16656,0.019287109375,0.02587890625,1.013671875,-311,100,60,-2.4198473282442747,0.6183206106870229,0.40458015267175573,1.693572393276556,-1.4351096048459002,76.61,0,0,1
2019-03-17 10:12:55.278333,292,476,16668,0.025146484375,0.028564453125,1.0146484375,-505,73,34,-2.122137404580153,0.6946564885496184,0.32061068702290074,1.3270195160678289,-1.3719474629991921,76.64,0,0,2
2019-03-17 10:12:55.313637,272,724,16584,0.0244140625,0.016357421875,1.004150390625,-214,82,34,-3.717557251908397,0.7938931297709924,0.2900763358778626,1.6627814931449987,-1.5033295254822874,76.54,0,0,2
2019-03-17 10:12:55.350546,376,408,16696,0.02001953125,0.029541015625,1.012451171875,-302,80,6,-2.7938931297709924,0.5648854961832062,0.31297709923664124,1.4699868155164932,-1.4947417258596951,76.56,0,0,3
2019-03-17 10:12:55.387588,420,552,16428,0.019775390625,0.040771484375,1.010498046875,-38,75,21,-2.0839694656488548,0.6259541984732825,0.26717557251908397,1.783743772535482,-1.21155417855957,77.01,0,0,3
2019-03-17 10:12:55.421965,380,736,16716,0.024169921875,0.030517578125,1.0048828125,-275,103,250,-2.4580152671755724,0.6564885496183206,0.3053435114503817,2.596660797441014,-1.3269718227258183,76.95,0,0,3
2019-03-17 10:12:55.458413,404,528,16588,0.018310546875,0.034423828125,1.01611328125,-264,81,28,-2.7786259541984735,0.816793893129771,0.26717557251908397,0.9288892679739406,-1.5079257976887956,77.04,0,0,4
2019-03-17 10:12:55.494137,316,464,16600,0.02001953125,0.02880859375,1.015869140625,-334,104,64,-2.1908396946564888,0.8473282442748091,0.40458015267175573,1.7984629134851446,-1.2554208806201008,77.0,0,0,4
2019-03-17 10:12:55.528557,428,700,16612,0.024169921875,0.027099609375,1.01220703125,-4,95,49,-2.282442748091603,0.7022900763358778,0.3053435114503817,1.6729369606860502,-1.677785315100928,78.65,0,0,4
2019-03-17 10:12:55.565266,324,460,16568,0.021728515625,0.025390625,1.00927734375,-319,67,53,-2.183206106870229,0.6030534351145038,0.25190839694656486,1.623482211696871,-1.4057090527324738,77.88,0,0,5
2019-03-17 10:12:55.600960,364,428,16512,0.02587890625,0.043212890625,1.016357421875,-257,91,22,-2.2977099236641223,0.732824427480916,0.33587786259541985,0.9426459709355367,-1.3014623318902467,75.74,0,0,5
2019-03-17 10:12:55.636095,316,496,16572,0.026611328125,0.03271484375,1.00927734375,-285,82,14,-2.2442748091603053,0.8320610687022901,0.3816793893129771,1.371957588558325,-1.071944372758324,75.28,0,0,5
2019-03-17 10:12:55.685336,404,492,16556,0.020751953125,0.0263671875,1.00244140625,-331,94,37,-2.2977099236641223,0.6183206106870229,0.3893129770992366,1.6282218028742144,-1.4171187804693652,78.23,0,0,6
