datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getAccelXScaled(),getAccelYScaled(),getAccelZScaled(),getGyroX(),getGyroY(),getGyroZ(),getGyroXScaled(),getGyroYScaled(),getGyroZScaled(),getXRotation(),getYRotation(),getForwardProximity(),steering_angle,throttle
2019-03-13 19:31:30.554545,80,852,16564,0.003662109375,0.062255859375,1.0068359375,-288,111,46,-2.183206106870229,0.7709923664122137,0.2824427480916031,2.8136915955406394,-0.5715629648331324,44.29,0,0
2019-03-13 19:31:30.689831,0,764,16764,0.00146484375,0.05078125,1.0087890625,-286,100,31,-2.427480916030534,0.6793893129770993,0.1450381679389313,2.869261055124575,0.8441652074455447,44.23,1,1
2019-03-13 19:31:30.821769,-236,560,16712,0.0078125,0.04833984375,1.00048828125,-320,70,24,-2.2748091603053435,0.5725190839694656,0.2748091603053435,2.6936384332965972,-0.33168265075498865,44.63,2,4
2019-03-13 19:31:30.953795,68,836,16436,0.00537109375,0.043701171875,1.017822265625,-321,85,29,-2.2595419847328246,0.6335877862595419,0.3053435114503817,3.4451621703090995,-0.24862019333328222,44.28,3,9
2019-03-13 19:31:31.085891,168,780,16712,0.0029296875,0.047607421875,1.00537109375,-287,100,51,-3.900763358778626,0.5648854961832062,0.16030534351145037,2.8692391014417655,-0.30640900220845596,45.12,4,16
2019-03-13 19:31:31.217933,120,736,16532,0.00390625,0.047119140625,1.014892578125,-336,74,32,-2.351145038167939,0.549618320610687,0.40458015267175573,2.815763289253378,-0.26142807012700586,44.21,5,25
2019-03-13 19:31:31.349835,80,860,16688,0.008544921875,0.0595703125,1.0,-305,70,32,-2.122137404580153,0.6183206106870229,0.05343511450381679,2.470082000955002,-0.3324344817478432,44.61,6,36
2019-03-13 19:31:31.481781,48,800,16560,0.00732421875,0.051025390625,1.0166015625,-315,86,29,-2.7022900763358777,0.6870229007633588,0.08396946564885496,2.707271142610529,-0.33188724842659223,44.61,7,49
2019-03-13 19:31:31.613791,40,692,16672,0.00341796875,0.048095703125,1.020751953125,-305,112,19,-2.0916030534351147,0.6183206106870229,0.16793893129770993,2.844708197327277,-0.23336584758343945,44.71,8,64
2019-03-13 19:31:31.745758,148,796,16536,0.010009765625,0.03125,1.025634765625,-263,103,18,-2.053435114503817,0.6946564885496184,0.33587786259541985,2.856877585580486,-0.4022938602339468,44.15,9,81
2019-03-13 19:31:31.877643,20,860,16704,0.008056640625,0.06201171875,1.013916015625,-296,93,59,-2.0229007633587788,0.8091603053435115,0.33587786259541985,2.778607557930057,-0.2439624751682802,44.74,10,100
2019-03-13 19:31:32.009580,160,520,16712,0.005615234375,0.051025390625,1.003662109375,-288,84,44,-2.381679389312977,0.5725190839694656,0.1984732824427481,2.7701060859319475,-0.1898871641044563,45.01,11,121
2019-03-13 19:31:32.141571,132,808,16880,0.008056640625,0.05126953125,1.011962890625,-260,94,18,-2.4122137404580153,0.6335877862595419,0.2900763358778626,2.583734188834341,-0.4164043519999398,45.16,12,144
2019-03-13 19:31:32.273864,172,836,16524,0.005126953125,0.047119140625,1.0185546875,-316,87,32,-2.3587786259541983,0.6870229007633588,0.42748091603053434,2.96496060622371,-0.4444341610371601,45.03,13,169
2019-03-13 19:31:32.405820,112,768,16648,0.005126953125,0.046875,1.016845703125,-308,92,32,-2.0839694656488548,0.5572519083969466,0.40458015267175573,2.6686557091623873,-0.35842195081856804,45.09,14,196
2019-03-13 19:31:32.538988,4,856,16588,0.0087890625,0.033203125,1.005615234375,-511,102,22,-2.236641221374046,0.648854961832061,0.21374045801526717,3.2290942121000974,-0.6353103530844075,44.18,15,225
2019-03-13 19:31:32.670973,32,1008,16812,0.00146484375,0.050048828125,1.015869140625,-321,89,33,-2.3053435114503817,0.549618320610687,0.17557251908396945,2.6886824854301694,-0.1923964986118116,44.18,16,256
